cell_id,day,donor,cell_type,technology
83d6659a6a32,2,27678,NeuP,citeseq
d98594f13d2e,2,27678,NeuP,citeseq
5f93d8ffc72f,2,27678,NeuP,citeseq
7dfa2699d351,2,27678,EryP,citeseq
6d2533edd0e0,2,27678,HSC,citeseq
b72ebaea8533,2,27678,EryP,citeseq
ff515db2d6b9,2,27678,HSC,citeseq
40f6d34908c4,2,27678,HSC,citeseq
08d4f34b4fa0,2,27678,HSC,citeseq
1cc09b88f68b,2,27678,NeuP,citeseq
fdf2be968ee5,2,27678,HSC,citeseq
1d675d608e35,2,27678,HSC,citeseq
f21075202e93,2,27678,HSC,citeseq
1db578e144d1,2,27678,HSC,citeseq
fb7be8a8f27c,2,27678,MoP,citeseq
027c94a8f746,2,27678,HSC,citeseq
75471421e7bd,2,27678,HSC,citeseq
2c206ec8265e,2,27678,HSC,citeseq
e758c3e74907,2,27678,HSC,citeseq
6638ecd875d2,2,27678,EryP,citeseq
2edc34b7011c,2,27678,MasP,citeseq
587ac18d0a00,2,27678,HSC,citeseq
491b2c02abec,2,27678,EryP,citeseq
48553a72834f,2,27678,HSC,citeseq
8f325a5ce2d2,2,27678,HSC,citeseq
ab2b862677c1,2,27678,EryP,citeseq
0141f58ce385,2,27678,EryP,citeseq
f32b2e61d550,2,27678,HSC,citeseq
be192ea5a02b,2,27678,HSC,citeseq
ca76f48e7735,2,27678,HSC,citeseq
c6bb70d8a97b,2,27678,HSC,citeseq
9fed422ca457,2,27678,EryP,citeseq
97a51a08b9c0,2,27678,EryP,citeseq
efa04bef049a,2,27678,HSC,citeseq
a846c3bc8c22,2,27678,MkP,citeseq
93dde6fa14c3,2,27678,HSC,citeseq
b80e8af920c7,2,27678,EryP,citeseq
4f3f5d6669e2,2,27678,MkP,citeseq
f76235dfdc4b,2,27678,HSC,citeseq
db3f3176ffc5,2,27678,HSC,citeseq
3d6cbc3292fb,2,27678,NeuP,citeseq
f3c91c660233,2,27678,HSC,citeseq
c2eafff359f7,2,27678,HSC,citeseq
c50b51be5720,2,27678,EryP,citeseq
2e255a7c45bb,2,27678,HSC,citeseq
4735028615ae,2,27678,EryP,citeseq
cdb97749c21f,2,27678,HSC,citeseq
d3926b188bbb,2,27678,HSC,citeseq
a0bbfb4e714a,2,27678,EryP,citeseq
f6a01afabadc,2,27678,HSC,citeseq
6b49675d6049,2,27678,EryP,citeseq
7570664e3ba6,2,27678,HSC,citeseq
7376bc9797db,2,27678,MasP,citeseq
f69d6c0ff63c,2,27678,HSC,citeseq
292eab1e86ee,2,27678,HSC,citeseq
a4404b3aa766,2,27678,EryP,citeseq
af504d3b55d9,2,27678,HSC,citeseq
68cae96b7ab3,2,27678,NeuP,citeseq
590977aa68d6,2,27678,HSC,citeseq
f97abfe176cd,2,27678,HSC,citeseq
2aa2b85700c8,2,27678,HSC,citeseq
171228ca6354,2,27678,HSC,citeseq
26ce4fffd4ef,2,27678,HSC,citeseq
118ab84bfcaa,2,27678,HSC,citeseq
5d7139acf111,2,27678,EryP,citeseq
ff0750e78c21,2,27678,MasP,citeseq
f8335c2b29fc,2,27678,HSC,citeseq
2ec653c1ad7b,2,27678,MasP,citeseq
d5c679d8674f,2,27678,EryP,citeseq
d8903ddcd32a,2,27678,MkP,citeseq
384a12aa8bba,2,27678,HSC,citeseq
86cb709e08a9,2,27678,NeuP,citeseq
684c2583fc6c,2,27678,NeuP,citeseq
857dd6feb91d,2,27678,NeuP,citeseq
132ed3dbc06a,2,27678,NeuP,citeseq
04148705e74b,2,27678,HSC,citeseq
bcc506286744,2,27678,HSC,citeseq
9e9c353b08e0,2,27678,HSC,citeseq
bb66d111ba47,2,27678,MasP,citeseq
7cfc47e56de5,2,27678,HSC,citeseq
99b60155af86,2,27678,EryP,citeseq
e4c61393e2c4,2,27678,MkP,citeseq
a0b28702b036,2,27678,HSC,citeseq
965aba5faee2,2,27678,MkP,citeseq
910c103f0c5c,2,27678,HSC,citeseq
ba99d1c5e820,2,27678,NeuP,citeseq
ca7ee7b8bc3f,2,27678,MkP,citeseq
49264c6f8dd5,2,27678,EryP,citeseq
8ed1871cabb9,2,27678,HSC,citeseq
e1d4adcc16cb,2,27678,MasP,citeseq
5b22d02ebed4,2,27678,HSC,citeseq
119bc37bf93d,2,27678,EryP,citeseq
1931cbfb9abf,2,27678,HSC,citeseq
07588dde2ec3,2,27678,NeuP,citeseq
bc3d1d3db3eb,2,27678,HSC,citeseq
d19f72adfad4,2,27678,HSC,citeseq
aed7ccd061e6,2,27678,HSC,citeseq
8d652f92cd0d,2,27678,HSC,citeseq
b86a3e8369dd,2,27678,HSC,citeseq
f8ac504ae549,2,27678,EryP,citeseq
63f8a2abf8ac,2,27678,HSC,citeseq
d8235727fb96,2,27678,MasP,citeseq
