cell_id,day,donor,cell_type,technology
c60b5bebde3d,3,13176,MkP,citeseq
9467be469e15,3,13176,EryP,citeseq
bd36c55ee8f6,3,13176,HSC,citeseq
ea8eb3d74aaa,3,13176,HSC,citeseq
75b80054fce3,3,13176,HSC,citeseq
ba86551929b6,3,13176,HSC,citeseq
558ffb1d67fd,3,13176,HSC,citeseq
056d7fc7e039,3,13176,NeuP,citeseq
eaff3ec30fcb,3,13176,MasP,citeseq
32172ad3efc9,3,13176,NeuP,citeseq
1084a907f05b,3,13176,MkP,citeseq
6bb5b716e6bc,3,13176,HSC,citeseq
73d73cd570c6,3,13176,HSC,citeseq
55468e1ac064,3,13176,HSC,citeseq
5955e2b36185,3,13176,MasP,citeseq
ada6745a363f,3,13176,EryP,citeseq
7d74b79ce5a4,3,13176,EryP,citeseq
397100283341,3,13176,HSC,citeseq
09b979588b87,3,13176,HSC,citeseq
997533826cb3,3,13176,NeuP,citeseq
2f994ae0f012,3,13176,HSC,citeseq
b550db622510,3,13176,HSC,citeseq
9643fe771964,3,13176,EryP,citeseq
37992a1f37b2,3,13176,MoP,citeseq
b868307cc7a6,3,13176,EryP,citeseq
4345acbbe8f3,3,13176,MasP,citeseq
8c9c0c4bcb9a,3,13176,HSC,citeseq
9e47b7224680,3,13176,NeuP,citeseq
581f38ba9008,3,13176,HSC,citeseq
a5c32d066e94,3,13176,HSC,citeseq
f0e15d95615a,3,13176,MkP,citeseq
083222bf2f64,3,13176,NeuP,citeseq
c2ebd3ec3f8f,3,13176,HSC,citeseq
72f806a5083f,3,13176,HSC,citeseq
1f624916a5c6,3,13176,EryP,citeseq
7a7ecc4a1990,3,13176,EryP,citeseq
43800eb92131,3,13176,HSC,citeseq
97bb5ba7223d,3,13176,HSC,citeseq
29060d22d2a9,3,13176,MkP,citeseq
a93749874f9d,3,13176,NeuP,citeseq
dbd0db8ed5c5,3,13176,HSC,citeseq
2435dd1f4443,3,13176,HSC,citeseq
57b0e0799443,3,13176,HSC,citeseq
d4c488b38c96,3,13176,EryP,citeseq
fcd1258676e4,3,13176,HSC,citeseq
b9a9e98de9f0,3,13176,EryP,citeseq
3476bee87d73,3,13176,NeuP,citeseq
c7bfdc64e1a1,3,13176,HSC,citeseq
54ca0a2f1997,3,13176,HSC,citeseq
5c04a31b9de6,3,13176,HSC,citeseq
4335c56bda06,3,13176,HSC,citeseq
7824e80947fd,3,13176,EryP,citeseq
445802f1a6ed,3,13176,EryP,citeseq
839929010640,3,13176,MasP,citeseq
dc03a6f637f7,3,13176,HSC,citeseq
f6a9f795d43e,3,13176,HSC,citeseq
048eb7ac2786,3,13176,NeuP,citeseq
f62e09751c2c,3,13176,NeuP,citeseq
6435b68e6baa,3,13176,HSC,citeseq
3ec204063a3f,3,13176,HSC,citeseq
4b91fac9b743,3,13176,HSC,citeseq
90fbf2dd249e,3,13176,NeuP,citeseq
112cf63f773e,3,13176,HSC,citeseq
f080f2f5558f,3,13176,EryP,citeseq
ba4fef12317f,3,13176,HSC,citeseq
57dac54e591a,3,13176,EryP,citeseq
19ed8d5426c3,3,13176,HSC,citeseq
e326f16c6e77,3,13176,HSC,citeseq
09e03693bbfa,3,13176,HSC,citeseq
83c88d4fdf48,3,13176,NeuP,citeseq
f1af570fd6cc,3,13176,HSC,citeseq
bb35d6fad4d8,3,13176,MasP,citeseq
d04099c8d8be,3,13176,HSC,citeseq
fc865322c465,3,13176,NeuP,citeseq
57569fa5153e,3,13176,EryP,citeseq
27fbc8e4d15d,3,13176,EryP,citeseq
107eb70efea4,3,13176,HSC,citeseq
0feab90d9be0,3,13176,NeuP,citeseq
26e985d14fb9,3,13176,HSC,citeseq
