,CD86,CD274,CD270,CD155,CD112,CD47,CD48,CD40,CD154,CD52,CD3,CD8,CD56,CD19,CD33,CD11c,HLA-A-B-C,CD45RA,CD123,CD7,CD105,CD49f,CD194,CD4,CD44,CD14,CD16,CD25,CD45RO,CD279,TIGIT,Mouse-IgG1,Mouse-IgG2a,Mouse-IgG2b,Rat-IgG2b,CD20,CD335,CD31,Podoplanin,CD146,IgM,CD5,CD195,CD32,CD196,CD185,CD103,CD69,CD62L,CD161,CD152,CD223,KLRG1,CD27,CD107a,CD95,CD134,HLA-DR,CD1c,CD11b,CD64,CD141,CD1d,CD314,CD35,CD57,CD272,CD278,CD58,CD39,CX3CR1,CD24,CD21,CD11a,CD79b,CD244,CD169,integrinB7,CD268,CD42b,CD54,CD62P,CD119,TCR,Rat-IgG1,Rat-IgG2a,CD192,CD122,FceRIa,CD41,CD137,CD163,CD83,CD124,CD13,CD2,CD226,CD29,CD303,CD49b,CD81,IgD,CD18,CD28,CD38,CD127,CD45,CD22,CD71,CD26,CD115,CD63,CD304,CD36,CD172a,CD72,CD158,CD93,CD49a,CD49d,CD73,CD9,TCRVa7.2,TCRVd2,LOX-1,CD158b,CD158e1,CD142,CD319,CD352,CD94,CD162,CD85j,CD23,CD328,HLA-E,CD82,CD101,CD88,CD224
c60b5bebde3d,-0.9849005,-1.9834149,1.760777,3.0423822,5.9490347,3.1627104,0.8752621,2.3412032,2.7069988,1.8021488,0.24845684,0.773254,0.7963346,1.1425248,5.528571,-0.66857815,2.2967696,1.1843883,2.7962933,-0.66793954,1.6460603,1.7915542,-1.1776658,0.2749449,15.078649,0.22657251,-1.1609242,1.8670108,-0.27168465,1.8725653,0.09781617,0.84896517,0.024099171,2.3513947,0.7906841,2.176558,0.3745334,10.214316,2.5957284,-1.5630786,2.0562377,-1.9017283,0.12700313,-2.2214065,-0.9023417,1.1713753,-1.1754868,0.4414696,5.710376,-0.2235514,0.32479966,-0.23668343,0.642167,-0.86206955,-0.14086998,3.0150702,-0.9941133,3.424562,-1.2055861,-1.390255,-0.9569215,1.6165138,1.8029336,-0.16177917,-1.0187507,-2.2238445,-0.2375505,-0.03926003,2.054618,1.7520834,0.7445772,1.8574253,1.2631295,1.6519225,-0.39771792,8.77636,2.3868592,1.8690288,-1.2140219,1.4283756,5.720934,1.1659174,0.33468235,0.90459335,0.41562706,-0.62026346,1.300249,0.1803841,0.1720599,1.6164467,1.7633747,1.0348043,0.675004,1.3891177,2.23076,-0.75920457,0.3181107,6.5923395,0.4597065,7.4976897,4.5686226,-0.78172433,1.5695337,-0.5940788,1.8439777,-0.041904867,10.672182,0.95057786,5.2472186,0.7692256,2.4461148,1.3444805,0.7952763,-3.7053018,0.42124844,0.4471302,-0.97984874,-0.59623885,2.635687,8.371593,2.4746456,8.44702,-1.3906312,-1.0203135,1.3857377,0.16438377,0.7029177,0.52870464,1.1952314,0.7571874,0.15430194,4.8092313,0.48161948,1.5824606,-0.59633857,2.0805655,6.312881,0.36641318,1.1495254,5.1493583
9467be469e15,1.0636894,0.536968,0.9319271,3.666185,1.2124795,9.701228,-0.6510743,-0.1073692,3.153798,1.2806832,2.0953934,-0.4818673,1.0994334,-0.8875357,3.9852304,-0.25642273,0.9658671,0.32954893,0.7466753,-0.33664265,2.5397785,4.7800364,-0.6302147,2.5570974,4.6053443,0.80523276,0.5884181,0.016766168,1.4100357,1.4547793,0.3217441,2.7715147,-0.4652261,0.9522243,0.38758966,1.9025522,1.8071858,0.77976143,1.5463216,0.16218232,1.1824276,0.82301027,2.2092738,3.7856822,2.6733923,0.7095379,2.5698104,-0.8610638,0.8880849,0.48371792,1.5091363,0.82611036,-0.81813335,1.3597894,1.047669,2.3765495,1.9418852,1.2541776,0.6495575,0.36518678,2.1514194,1.7947283,1.7887534,2.6253462,-0.5581479,-0.45700055,1.7114792,0.93139815,5.1141253,0.85196054,1.5354729,0.22381622,0.6943184,0.44987014,-0.11876726,9.158377,0.5165919,2.111211,1.882218,1.9120104,1.4630502,-0.6092861,0.17509171,0.35805956,-0.88313997,0.11381838,0.2649606,0.43519753,3.7448456,5.5778985,2.3847895,0.7056446,2.3226213,0.70730513,-0.5952169,-0.29089326,0.7653963,10.019925,1.2160767,2.2449863,2.1811376,-0.49228773,-0.42295012,3.1523347,3.9548428,-0.08486922,4.415098,1.5501773,13.098799,4.309532,4.7099466,3.4147658,2.171325,16.74616,1.1113201,0.65893173,9.491566,0.06352423,-0.68253696,12.296626,1.8966131,-0.18479387,1.334827,-0.59185755,2.0177197,0.579079,-0.1099837,1.4529327,1.3850024,-1.5757184,0.84995544,6.08631,2.9325929,-0.061542027,3.0096204,-1.1062725,12.660033,3.0365767,7.7393827,4.133489
bd36c55ee8f6,-0.3904637,2.0769303,0.6717551,8.911627,8.499546,8.1459,-0.7169403,0.06747191,1.0808218,-1.1551889,0.81555426,-0.26630396,0.37314355,1.3870082,10.9193,-0.12764844,9.89485,2.3181992,3.5576313,-0.23313183,-0.34943026,5.370023,-0.4591683,1.1919235,20.093985,0.12340561,-0.54066503,1.8209922,1.2657447,0.99525505,1.7631484,-0.3583231,2.844135,-0.9539336,2.7024226,1.3856665,0.34636343,23.887564,-0.67515504,3.8777964,-0.22965926,0.24983482,1.5562583,0.6353899,-0.14600913,0.19820699,0.38458508,1.1324146,13.1747,-0.8594676,-0.69534475,0.6490504,1.4469668,-0.37208763,0.9615007,2.8041916,-0.30641446,9.365673,-0.52580583,1.618199,0.94052505,1.2572818,-0.06895208,0.5582453,-0.41423658,0.57760334,3.291675,1.234672,4.1656427,1.8223889,0.75155765,1.175344,-0.4594106,9.884335,1.5142171,16.588045,-0.041810483,4.21492,-0.52519846,-0.763373,3.3741162,-0.44870377,1.1113734,1.1757722,0.31376493,-0.65345293,0.20638232,1.20222,3.0029743,0.44035748,0.48734957,-0.20729858,-0.6152804,0.10574622,8.004636,-0.14457344,2.1991067,13.9882345,1.0923345,10.158489,7.8940263,1.4051392,3.8715878,1.2263435,3.8398354,0.17212336,13.534853,1.7375169,9.957228,3.022592,2.302785,5.7209125,0.03453414,0.32697392,-0.67066497,6.7527304,3.0351791,0.2696615,0.78379923,14.235585,2.1635113,12.05721,-0.63696456,1.1440861,0.49302796,1.4408333,0.9306324,1.7416997,0.4812267,2.0541565,-0.6946323,8.290218,2.396097,0.17952287,3.1089292,2.3619509,6.629276,1.3673823,4.2146263,4.412749
ea8eb3d74aaa,2.9938767,0.5985679,2.1397643,5.3072944,5.385819,7.785292,2.749851,2.611929,0.13890606,-0.78269565,1.132235,0.23934656,1.406069,0.008851707,2.0665793,0.17441967,8.957369,2.4578059,4.22019,5.3824477,0.35092098,4.482402,2.764892,-0.16886163,16.289127,1.4101295,1.0824453,0.5602165,0.67736655,1.2487643,-1.2742834,1.6429882,0.43957287,-0.36177117,1.1091578,1.8847058,-0.008940339,14.383153,0.5940347,2.7295403,-0.23752466,-0.018269777,1.6001136,1.2563639,1.6136272,0.37413016,2.178195,-0.31073633,9.487087,-0.3411109,0.6409853,0.28353423,0.90682274,-0.09847,2.2900963,0.57000357,1.3188468,9.406659,1.1909924,-0.19953895,-0.2510377,1.0928545,0.98780316,1.572474,1.3533746,-0.25374377,0.9451579,2.3655257,3.0448575,1.4842252,0.3391443,-0.8785362,1.4028404,5.5880723,-0.29187238,9.539093,0.4919931,2.302721,-0.14054295,0.6178744,0.42745444,1.1246575,0.26538718,0.76119274,-0.23485547,0.8811835,1.8785826,1.2490747,3.0611057,1.0013125,1.2652895,1.5723008,1.1167485,0.8154544,5.008037,0.1986513,-0.20607662,9.862837,0.41345856,9.442951,6.633101,1.6172669,-0.19603834,0.17919868,5.5955114,0.7749551,7.2609963,0.19177231,8.421907,0.9379066,1.5996006,4.6141376,0.124373615,4.8112364,0.8793467,-0.43937516,2.8726726,-0.24153233,-0.27890638,7.2726436,1.6654177,1.3384331,-0.21609896,-0.14397544,1.7539868,0.3381806,0.66428137,1.0443614,0.6650721,2.560603,0.9394357,1.9693615,0.40426147,0.9211991,0.05376765,1.7326633,4.640826,0.44678587,3.509913,3.248915
75b80054fce3,0.027646393,-0.36731625,2.554513,5.882067,7.000463,10.543693,0.40397626,1.1778953,1.2012312,2.440691,-0.45896888,0.37059617,-0.7012975,1.2209601,6.4651423,0.25282624,8.998671,8.416745,3.6547706,0.072699666,-1.6091907,6.4055586,0.0462026,-0.03594756,12.019928,-0.28731233,1.1723505,0.65911597,-0.06719935,1.4248226,0.2707395,0.50790846,0.6042321,0.57609916,1.2404718,-0.30687338,1.7894549,15.639181,-0.12764394,-0.1201784,0.6063863,1.9607943,0.045326233,3.5342717,0.3859739,0.53043497,0.4714889,3.1647964,5.5762534,1.3576025,1.3750145,0.8573581,-0.060468435,-0.027448177,1.5672433,2.6036527,-0.60934854,5.314984,-0.047667623,1.0844901,1.2591155,0.8163048,-0.1263498,2.3003473,0.010961533,2.141677,1.1918802,0.68042636,2.6372325,-0.1807065,0.50919443,1.1826491,0.16628128,10.246713,0.28899348,13.357481,-0.23038054,2.9428105,-0.040699482,1.647266,3.4066966,0.025750339,0.82409036,2.034502,-0.11687791,1.020832,1.06733,0.2165255,2.4974337,2.8530836,1.467216,0.5580409,0.6418391,2.1736417,5.369991,0.28774077,1.407739,9.290519,0.08195561,11.465412,3.308921,1.672328,5.92758,1.5847673,2.8562722,1.7969246,13.22348,2.2910278,7.249066,1.2645272,2.3164992,5.478673,0.30554235,7.4338565,-0.033636153,0.9206283,0.36351228,-0.11602199,-0.20545194,5.3888583,1.8279235,3.6788907,-0.106856644,-0.062467903,0.29041606,0.5231992,-0.08118945,1.2201823,1.693577,-0.7219134,-0.052450776,6.1405463,1.2604847,0.51618916,0.11423352,0.3419448,3.685195,0.014942288,3.195812,4.266027
ba86551929b6,-0.51531756,-0.40286058,0.123854324,11.072621,9.945377,14.821085,10.223898,1.0568657,1.6097764,1.2993764,1.4310985,1.4885617,-0.36375675,-0.8559968,18.047867,2.8924084,11.4323635,6.761368,11.359589,2.484207,1.9944371,7.0637946,-0.6100795,-0.8735241,16.725117,-0.98100775,3.836324,0.03588719,0.3539957,0.31536734,-0.35166353,0.06720033,0.92148876,2.6902957,-0.78466976,0.79816896,-0.46938774,20.758266,1.5875359,2.91821,-0.013905453,-0.004009139,2.2357635,-0.9389731,-0.30486715,0.36854556,0.05691187,-0.8417008,9.901249,0.029069297,-0.06998733,0.85093206,5.8892074,-0.47500208,2.9991086,4.0329027,0.40642697,9.789011,1.8893678,0.3865985,-0.5991101,-0.6276334,1.4192665,1.6104164,-0.5412071,3.248909,1.75918,1.3865584,5.8092737,0.8742064,0.5051457,0.538746,-0.6462515,20.219751,1.3295791,17.786856,-0.24258742,-0.86896,-0.6698771,0.13009956,5.7575245,-0.5903828,3.1837955,0.39227334,1.9010506,-0.8558111,1.2311529,1.9313357,0.09054357,-0.06602141,0.19474679,0.18469845,0.71830904,0.74292105,9.986774,3.1670988,-1.2389092,12.904019,1.5833731,13.329123,7.3157234,1.3253525,10.481012,0.41639188,5.370604,1.6070558,14.327536,-0.41295984,9.07443,2.5493011,1.5349497,8.035528,0.33143446,1.7125887,0.18336771,8.944661,0.3342906,2.6047497,-0.66833544,11.270458,0.8038704,16.234169,0.32930166,-0.57609904,0.72012556,1.1727314,-0.96911657,2.9642763,1.4166975,1.8636694,1.4459958,10.729113,-0.048900336,0.47524053,-0.2668007,2.4090924,4.7224255,-0.89935195,2.655767,6.9868717
558ffb1d67fd,-0.28809977,0.602228,1.1582748,11.154589,7.4919925,10.469516,1.7519175,0.19394444,-0.58514583,0.36563092,-0.7601932,-0.11037466,2.7122803,-0.4258123,1.5807301,8.591683,12.658236,0.8021412,6.656647,-0.15825653,1.113872,9.334477,1.1402209,2.933301,16.585941,-0.69071233,-0.4338544,1.1518352,0.5206937,0.3123329,2.2116137,0.53794533,0.0008300543,-0.7713263,-0.43838266,1.1397606,-1.1642663,22.79891,1.5272598,0.509711,-0.1127169,1.3188419,-0.45676437,0.15300995,0.6807675,0.7807355,2.424214,3.489902,9.331055,1.3120298,0.9415303,0.8015766,-0.4879527,-0.28771117,0.73868024,3.6844835,2.7664988,11.545618,0.9284471,0.6786499,-0.42597532,1.1187803,1.0056849,1.073906,1.1198987,1.4701935,3.0168972,-0.5617655,3.7650864,-0.602358,0.3773326,0.5578047,1.0592735,12.563029,0.24188486,17.85281,0.12280047,1.310935,-0.40658087,-0.65406835,10.025683,-0.3325454,2.442566,1.3860109,3.718305,1.4189334,2.7350597,-0.32624164,1.8272903,0.070172906,1.9539986,1.6482524,0.6302497,2.0000052,4.204533,3.4020357,1.8935835,14.207358,0.8799703,19.1951,4.356886,-0.33644116,9.09373,0.90532994,3.194194,2.756841,16.81052,-0.11215988,5.1416383,3.410629,-0.14537054,4.2195177,1.3271399,1.0213449,-0.5147042,-0.5467355,3.3216472,0.41877234,0.87106574,12.842365,1.8145854,6.620613,-0.5071807,-0.36115634,0.1742157,1.1027608,2.5316172,0.045945138,1.0928214,0.9611647,0.23738313,7.3333163,-0.14939159,0.53010523,-0.10734673,1.3273866,5.5754004,1.0822928,1.9031057,5.452064
056d7fc7e039,-0.24477181,-0.3608594,2.4555666,9.112285,10.090254,17.4496,3.8594244,0.24747692,1.5498226,2.63268,-0.718858,-0.0443739,0.07474235,2.5437877,12.124376,0.0049292743,15.23208,3.3791125,6.6667137,2.6821008,0.5564497,8.20945,1.1925915,-0.45618004,17.73019,1.1721673,-0.38864428,0.34642693,1.5338948,2.3752918,0.15328449,1.2571073,2.0395603,0.0901317,-0.37234947,1.2048985,1.6285081,21.114883,2.256886,-0.50837994,-0.063218266,-0.39695185,0.7840514,0.36123925,0.039362192,1.2305477,1.689375,1.30176,14.87875,0.93220484,1.7228539,1.6184496,2.5545263,-0.25199682,5.1888065,3.6042926,1.7803348,7.910961,-0.35919693,1.8054621,2.3702626,1.0862484,2.0389848,1.7087595,-0.26607484,1.5623372,-0.42684042,0.61683613,6.0862813,-0.54449725,-0.028450698,1.3379006,1.1241128,9.3206215,1.0624228,19.755814,-0.6684549,6.6906776,-0.35637316,1.3563766,4.2358646,0.91330206,2.7736223,1.4749995,0.51325333,-0.41732132,0.8563546,-0.25176096,2.795483,1.0312505,0.47398105,0.6799254,0.4059741,1.8478966,7.6902027,0.0060679466,2.5285172,15.727899,2.3562937,7.6758094,8.045936,1.498242,9.114495,0.9985651,4.122148,1.3022013,8.669678,-0.0548006,9.48009,2.5549798,1.2641627,3.9084263,2.3515036,1.3152539,0.5955689,3.1063468,2.351431,0.48188704,0.9080034,14.77296,0.6853389,0.6149516,1.6989636,-0.3201691,1.3324413,1.7536814,1.1688873,0.13435921,0.758428,1.4711577,1.583813,10.896914,1.2000396,0.24400105,-0.076940596,1.732597,10.115509,0.66387594,3.6250815,2.242782
eaff3ec30fcb,-0.34647498,-0.032713532,0.15050378,3.9216719,5.141853,4.60254,-0.7374147,1.2654738,-0.70560056,1.488842,-0.81588364,-0.19929665,0.9393467,0.51264775,4.3777914,-0.087619275,5.669514,1.7628789,1.5627255,-0.20095578,-2.1197,3.3984873,-0.405999,1.2597805,8.488235,-0.765293,-0.49476546,1.0848306,-1.472839,-1.2328508,0.987814,0.4170048,0.59497267,1.8928648,2.7694626,1.0520012,0.9388185,10.302501,-0.118397266,-0.6533091,-0.9872837,0.33926952,0.6223259,-0.12753457,-0.85300696,-0.14824888,1.4224597,0.3106752,2.1750958,-0.79077655,0.29668543,-1.1496402,-0.5669861,-0.33582866,0.58549523,0.7519426,-1.356622,2.297637,-0.47550166,-0.5696633,2.292767,0.26494515,0.03180945,0.34261674,1.0605339,1.9709091,1.590555,-0.68686885,1.9243507,0.2501947,-0.22917235,-0.21301374,-0.39358252,6.374651,-1.21064,8.961676,0.8148952,-0.49127495,0.86999637,-0.7164017,-0.7697637,-0.3987872,0.14048013,0.73904836,-0.62914294,-0.5821578,-0.47903073,0.18836844,0.6890146,-0.16658366,0.23563352,0.19319321,-0.92858815,-1.3137174,2.6500401,-0.09909032,1.7615967,6.7382603,-0.06742439,2.2165897,4.2960196,-0.3737452,-0.33404645,0.7797153,1.6077957,0.25200883,5.2323136,-0.18943933,7.8220305,-0.15367651,1.5680265,5.169753,0.12702678,0.625365,-0.6036442,5.0402327,0.8068007,-0.6609947,0.82130015,6.6282573,-0.1900143,1.2933172,-0.58119273,-0.41637793,-1.2118089,0.37485448,0.19337232,-0.07317415,0.11718574,1.731221,-1.060445,3.645003,-1.000451,-0.53252506,-0.14831254,0.10772526,6.193458,-1.2469966,2.0957234,0.51889557
32172ad3efc9,-0.056230485,0.052472353,0.4017986,7.7507477,8.852932,7.785829,6.451516,-0.16511887,1.7704971,1.2430614,2.5492585,2.1878815,1.8705192,2.0198016,4.9920115,0.1764994,1.1939197,4.8737574,4.2207212,2.8200116,0.81372476,6.3408623,-0.055179596,1.7075119,9.822485,-0.39447415,2.250404,0.56283975,1.4375582,1.0256203,-0.30810612,1.0183271,0.4439404,0.42647102,2.2060065,1.0609553,2.0571928,11.262945,1.7616602,-0.23970473,0.84421533,1.790262,-0.08805245,2.2416766,-0.48371392,-0.5825838,2.1841931,0.64804155,8.352947,0.22680935,0.92700475,0.28693962,0.90991694,-0.09658617,2.2960935,2.8335958,0.8608208,6.704847,1.1936059,-0.19660139,-0.24929625,-0.11605716,-0.31848013,0.64167345,1.3556987,1.2884021,0.9517021,-0.0648486,4.413476,-0.2927168,-1.0947402,0.5352992,0.04076153,9.260354,0.16495359,7.666977,-0.3652625,0.7610992,-0.13789463,0.62031484,0.42763254,-0.069429696,2.031587,1.8622324,-0.23172617,-0.111741126,1.2445877,0.68729824,1.7178006,1.0105817,1.9181689,0.4045065,1.6911358,2.7296076,7.3790407,3.641782,1.8410612,9.531772,-0.058116317,8.720005,5.1798906,-0.1882675,4.031773,-0.5120284,5.5999403,1.6446005,6.092113,2.1799881,10.571283,0.94657016,2.3517497,1.9369848,2.2968748,2.5941966,-0.16143024,-0.43830633,2.2733166,-0.23820323,2.2972598,11.719548,1.669728,7.011037,-0.21320134,-0.14181346,1.2494849,2.158541,0.6680188,1.5396674,0.18583012,-0.8498827,0.21996588,9.462168,1.0582113,-0.73960173,0.055371493,0.19387972,6.420633,0.4506343,5.245763,5.0723224
